"","开盘","最高","最低","收盘","成交量","收益率","累计收益率","交易日","当日涨跌","上周平均收益率"
"1",70.7425737481315,72.5484926159744,69.8431610910831,71.3149889068873,12452307.2347695,0,0,1,1,0
"2",71.6649865029525,72.8972924919279,70.8509612977862,72.0031650866788,15879518.3059017,0.0104566331425988,0.0104566331425988,2,1,0.0104566331425988
"3",72.1015228590377,74.523144687419,71.7917350687915,73.9859047293475,13797638.9001688,0.0127644219410146,0.0232210550836134,3,1,0.0232210550836134
"4",74.009692493548,75.050439772296,73.072117848135,73.6022081862384,12956456.2584376,-0.000590180752716398,0.022630874330897,4,0,0.022630874330897
"5",73.8348783182344,74.0813354055584,72.1235136279714,72.7868879154923,16114148.9761523,-0.000131037774975216,0.0224998365559218,5,0,0.00449996731118436
"6",72.5541731869399,73.623852137818,72.1357775812983,73.1044783636129,15088180.4274224,0.00485858676032906,0.0273584233162509,6,1,0.00547168466325017
"7",73.0444109367513,73.8735070850471,71.013325775128,73.2430046161437,14440450.9202039,-0.000708518556503057,0.0266499047597478,7,0,0.00323865432342979
"8",72.7542197858272,74.1747633252942,72.364281240227,73.3845659840437,12474885.1886917,-0.00499600716521503,0.0216538975945328,8,0,-0.000313431497816128
"9",73.4858017410578,74.4255847689377,71.7450792036442,72.5585502433003,14174583.5578593,-0.00395085343734065,0.0177030441571921,9,0,-0.000985566034740977
"10",72.2231274849146,73.6601160475744,71.4107495338275,72.513270365668,19895744.2775132,-0.000640339153125602,0.0170627050040666,10,0,-0.00108742631037105
"11",72.3901333112134,73.6776862567886,71.3581954015993,72.0180060172478,20324884.0199038,0.00463795107391146,0.021700656077978,11,1,-0.00113155344765457
"12",72.164934621105,73.122089168561,71.4697348003383,72.5762185418606,16321014.0396152,0.00213468696963783,0.0238353430476158,12,1,-0.000562912342426396
"13",72.5273657366042,75.4333402094781,72.2499043215848,74.8461145861936,16953087.0791825,0.0122422773786173,0.0360776204262331,13,1,0.00288474456634007
"14",74.8445612822274,78.2738824140253,74.5838134604167,77.4573826765484,19725768.368474,0.0260330402379414,0.0621106606641745,14,1,0.00888152330139648
"15",77.451383018106,79.4867528352932,76.9965943809378,79.1121388279275,23761162.6994697,0.0185890870872019,0.0806997477513764,15,1,0.012727408549462
"16",79.3427836762774,81.7342709628499,78.8043032926025,80.9801494890691,22471862.6192873,0.0149356800787661,0.0956354278301425,16,1,0.0147869543504329
"17",80.4571581248466,81.620335286497,79.840118534525,80.6696252301017,20938233.7446363,0.00528498682068564,0.100920414650828,17,1,0.0154170143206425
"18",81.0275709347092,81.7624110458456,79.2669010919232,79.9054830546008,17820217.4970786,-0.0016310996911883,0.0992893149596399,18,0,0.0126423389066813
"19",80.3227939700626,83.0328210960594,79.8772891211384,82.2611677313737,17596045.7624381,0.00640997749090069,0.105699292450541,19,1,0.0087177263572732
"20",82.1756830865483,83.0656590127472,79.7536433766097,80.3007035667904,28547757.1831148,-0.00755676532128755,0.098142527129253,20,0,0.00348855587557531
"21",80.6226599471728,81.5608402044369,79.0053790986086,80.1212119366457,25466093.3546919,0.00458189731943099,0.102724424448684,21,1,0.0014177993237083
"22",80.0674948746642,81.2972028743551,78.9109967255935,79.1242491190882,23210735.6567122,-0.00866414107339008,0.0940602833752939,22,0,-0.00137202625510685
"23",79.2021267721968,84.9086979207902,78.676626697542,84.3817885270039,30447418.063664,0.0221411980452159,0.11620148142051,23,1,0.00338243329217398
"24",90.3304660597896,90.440874700955,89.721122198317,90.2377175150187,31552116.1913072,0.026280210592368,0.142481692012878,24,1,0.00735647991246744
"25",97.2653222044239,98.1429614671629,96.9829050625406,98.0426588288498,49368216.4093055,0.0651657590869406,0.207647451099818,25,1,0.0219009847941131
"26",101.698932290721,102.505278134537,93.7452311853597,100.693458293289,42529833.2119234,-0.00513179685199348,0.202515654247825,26,0,0.0199582459598282
"27",99.7448148040413,101.798673811058,97.7996132114518,98.949542038405,30274266.4376565,-0.00466185737325467,0.19785379687457,27,0,0.0207587026998553
"28",99.0675123475251,99.3046599254613,95.2941442674765,97.2459182546558,23729058.6497452,-0.00501295658750315,0.192840840287067,28,0,0.0153278717733115
"29",97.9129177618172,101.051447556537,97.2146830573789,99.7588388137783,27869975.0830351,0.0188544002964608,0.211695240583528,29,1,0.01384270971413
"30",99.8662528806901,103.877976392543,98.3275855346099,102.42167828181,45091853.2592781,0.0222632375262698,0.233958478109798,30,1,0.00526220540199586
"31",102.386999444456,106.331999693683,101.959972655483,105.782793410758,30308337.638844,0.00894438541839932,0.242902863528197,31,1,0.00807744185607442
"32",104.758034748093,105.449797976158,102.534822669871,103.464376219595,28227176.346119,-0.0103910856185887,0.232511777909608,32,0,0.00693159620700762
"33",102.772117629441,103.145265203877,99.7297819742138,101.405170870173,30567406.7899448,-0.0200538868290505,0.212457891080558,33,0,0.00392341015869814
"34",100.940748205847,103.724320836721,100.017421578645,102.625740708823,28139106.8798495,-0.0139995388397979,0.19845835224076,34,0,-0.00264737766855361
"35",101.870494459366,103.999523074995,100.097299864257,102.976020930688,26667380.0655934,0.0109652840280046,0.209423636268764,35,1,-0.00490696836820666
"36",101.517980728846,106.091244637558,100.76833191009,102.331801666174,40546840.5619998,0.0156117043101134,0.225035340578878,36,1,-0.00357350458986385
"37",102.419433540314,103.967456193377,99.6766927508453,100.45193263355,28649954.6538078,-0.0153459047461896,0.209689435832688,37,0,-0.00456446841538403
"38",104.415917928732,107.405597485599,103.198275391975,106.118604789807,22938901.1651867,0.0165227688204558,0.226212204653144,38,1,0.00275086271451723
